framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.2525343894958496
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.025216001272201537
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.24659199714660646
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.026915198564529418
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.25006399154663084
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.25971519947052
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.027504000067710876
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,4096,4,16,128,64,128,Qwen/Qwen3.5-397B-A17B,0.02717120051383972
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,8,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.25662400722503664
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,8,8,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.027184000611305235
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.24811840057373047
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.028992000222206115
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.2563584089279175
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.029094401001930236
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.2500799894332886
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.02959679961204529
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.2588383913040161
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,1024,4,16,128,16,128,Qwen/Qwen3.5-0.8B,0.027136000990867614
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.2535552024841309
vLLM,0.20.0,NVIDIA B200,gdn,chunk_gated_delta_rule,context,1,16,16,2048,4,16,128,16,128,Qwen/Qwen3.5-2B,0.028992000222206115
vLLM,0.20.0,NVIDIA B200,gdn,causal_conv1d_fn,context,1,16,16,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.24657280445098878
