framework,version,device,op_name,kernel_source,model,architecture,mla_dtype,kv_cache_dtype,gemm_type,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,32,32,1,1,0,0.1126
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,32,64,1,1,0,0.1158
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,1,1,1,0,0.0747
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,32,128,1,1,0,0.1282
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,4,1,1,0,0.0862
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,2,1,1,0,0.0807
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,32,1,1,0,0.1052
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,64,1,1,0,0.1142
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,8,1,1,0,0.0848
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,16,16,1,1,0,0.0871
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,8,1,1,1,0,0.0787
VLLM,0.20.0,NVIDIA B300 SXM6 AC,mla_context_module,default,deepseek-ai/DeepSeek-V3,DeepseekV3ForCausalLM,bfloat16,fp8,bfloat16,8,2,1,1,0,0.0830
